aX,aY,aZ,gX,gY,gZ
-0.210,-0.095,1.144,-32.593,-32.043,-16.663
-0.256,-0.074,1.302,-5.371,-42.419,-13.794
-0.328,-0.171,1.571,17.334,-54.871,-7.874
-0.376,-0.170,1.895,29.419,-67.017,1.831
-0.462,-0.138,2.244,49.316,-73.669,8.789
-0.479,-0.070,2.630,83.923,-74.646,15.930
-0.760,-0.157,2.982,122.986,-67.200,23.193
-0.536,-0.092,3.203,152.771,-41.870,41.809
-0.405,-0.008,3.532,164.734,-14.099,61.523
-0.340,-0.081,3.716,156.494,5.798,59.326
-0.277,-0.120,3.843,125.549,35.034,51.575
-0.174,-0.038,3.756,87.585,72.815,45.532
-0.119,0.158,3.486,63.293,114.014,44.617
-0.073,0.359,3.034,39.795,150.574,46.326
-0.109,0.494,2.374,-4.272,184.631,42.969
-0.075,0.664,1.449,-86.121,220.764,33.569
0.024,0.859,0.447,-176.758,241.516,12.695
0.076,0.818,-0.419,-224.243,234.253,-13.367
0.180,0.567,-1.150,-238.708,204.224,-36.316
0.259,0.177,-1.714,-245.056,162.292,-54.565
0.262,-0.302,-1.930,-255.737,114.319,-65.308
0.203,-0.726,-1.825,-264.221,71.533,-66.406
0.119,-1.018,-1.643,-265.381,43.030,-62.378
0.027,-1.211,-1.398,-261.353,20.386,-55.725
-0.050,-1.327,-1.151,-249.207,5.066,-43.884
-0.115,-1.409,-0.984,-210.388,-5.188,-25.452
-0.172,-1.342,-0.780,-118.652,-15.991,-2.014
-0.185,-1.153,-0.569,-5.859,-30.396,23.437
-0.186,-0.895,-0.472,93.506,-43.091,45.715
-0.208,-0.545,-0.469,158.020,-47.241,59.753
-0.184,-0.194,-0.386,180.969,-49.194,64.575
-0.178,0.060,-0.208,198.303,-54.871,59.875
-0.169,0.235,-0.020,221.924,-57.800,50.537
-0.154,0.333,0.211,237.305,-62.744,43.762
-0.113,0.374,0.450,236.633,-65.613,36.194
-0.076,0.347,0.704,215.576,-64.453,27.283
-0.028,0.270,0.907,178.467,-57.495,16.479
0.025,0.183,1.053,140.442,-45.837,5.676
0.025,0.056,1.139,104.797,-32.898,-2.441
0.007,-0.068,1.176,66.772,-19.592,-6.592
0.008,-0.139,1.167,19.958,-8.911,-7.568
0.032,-0.149,1.150,-22.095,-3.113,-4.944
0.051,-0.105,1.133,-43.518,-3.723,1.038
0.086,-0.000,1.123,-48.035,-7.751,7.690
0.151,0.190,1.136,-47.546,-13.367,11.902
0.137,0.269,1.187,-46.326,-21.240,8.362
0.158,0.305,1.259,-42.847,-25.574,2.441
0.259,0.300,1.309,-39.551,-25.452,0.488
0.273,0.193,1.424,-29.602,-21.545,0.183
0.106,0.215,1.298,-34.729,-8.240,-3.662
0.177,0.237,1.220,-45.898,-0.549,5.432
0.191,0.130,1.243,-43.335,-5.127,5.981
0.138,-0.017,1.177,-30.823,-8.972,4.456
0.107,-0.068,1.093,-21.667,-13.916,4.578
0.073,-0.031,1.054,-9.644,-21.912,9.644
0.081,0.041,1.042,1.465,-30.640,14.099
0.105,0.153,1.064,13.123,-39.551,16.052
0.124,0.233,1.093,27.527,-46.387,14.587
0.121,0.223,1.143,39.185,-50.659,10.315
0.106,0.186,1.183,44.922,-48.523,4.822
0.088,0.135,1.176,36.133,-40.405,-1.221
0.047,0.084,1.156,15.991,-31.738,-6.042
0.011,0.046,1.119,-4.211,-25.085,-8.545
-0.024,0.030,1.087,-13.855,-21.606,-8.606
-0.043,0.034,1.087,-8.667,-23.071,-6.836
