aX,aY,aZ,gX,gY,gZ
-1.168,-0.013,3.325,19.165,-114.746,61.829
-1.227,-0.160,3.489,14.771,-87.708,69.946
-1.097,-0.369,3.415,43.945,-57.983,73.486
-0.913,-0.392,3.448,47.791,-28.809,67.810
-0.886,-0.369,3.341,-1.831,18.127,43.274
-0.843,-0.256,3.245,-34.363,53.406,18.127
-0.714,-0.220,3.012,-63.599,65.735,-15.015
-0.627,-0.052,2.756,-72.510,82.153,-41.199
-0.512,0.100,2.535,-47.485,94.910,-50.964
-0.418,0.221,2.302,-14.648,105.652,-57.922
-0.346,0.306,2.078,26.367,118.347,-64.331
-0.237,0.332,1.779,81.543,129.089,-59.692
-0.138,0.353,1.541,136.108,122.375,-36.194
-0.082,0.330,1.311,158.264,112.000,-11.353
-0.033,0.370,1.165,157.654,97.107,20.203
-0.015,0.364,0.993,151.123,92.896,36.743
0.026,0.362,0.838,133.118,88.501,39.429
0.011,0.382,0.781,117.493,81.970,40.649
0.060,0.325,0.670,118.225,84.656,38.086
0.140,0.282,0.576,118.652,88.989,43.640
0.113,0.277,0.568,89.233,78.003,54.749
0.104,0.262,0.549,57.251,68.604,62.439
0.129,0.250,0.488,50.537,66.895,64.392
0.108,0.226,0.429,55.481,65.979,60.120
0.068,0.181,0.340,51.453,68.481,50.598
0.038,0.171,0.196,43.030,73.120,41.321
0.017,0.167,0.095,36.621,69.885,32.837
-0.015,0.202,-0.036,19.470,59.265,24.231
-0.019,0.206,-0.120,5.005,44.312,14.587
-0.049,0.157,-0.137,3.601,25.696,4.089
-0.018,0.118,-0.079,8.301,4.395,-3.479
0.035,0.092,0.035,9.033,-12.085,-7.996
0.073,0.079,0.125,3.967,-21.851,-11.475
0.108,0.084,0.216,-1.648,-24.963,-15.503
0.114,0.069,0.298,-2.686,-24.597,-22.217
0.080,0.038,0.360,-6.653,-21.362,-30.212
0.034,-0.013,0.423,-9.460,-16.296,-36.255
0.006,-0.046,0.459,-14.954,-11.414,-39.307
-0.016,-0.059,0.505,-16.846,-8.972,-40.100
-0.033,-0.070,0.551,-9.460,-10.132,-39.490
-0.047,-0.080,0.610,2.747,-13.428,-38.025
-0.051,-0.107,0.674,11.536,-16.724,-35.645
-0.055,-0.111,0.724,7.751,-18.127,-32.410
-0.084,-0.095,0.757,-2.136,-16.907,-28.870
-0.099,-0.073,0.770,-7.080,-14.709,-26.001
-0.107,-0.057,0.812,-6.897,-13.367,-23.804
-0.099,-0.034,0.838,-10.071,-11.841,-22.095
-0.091,-0.021,0.867,-12.756,-9.949,-21.240
-0.089,-0.029,0.894,-12.085,-8.423,-20.752
-0.078,-0.055,0.931,-9.644,-7.324,-19.653
-0.063,-0.083,0.967,-9.460,-6.470,-17.700
-0.072,-0.116,0.987,-13.062,-5.798,-16.052
-0.081,-0.151,1.002,-12.268,-5.676,-14.221
-0.088,-0.168,1.017,-4.700,-6.348,-11.230
-0.088,-0.169,1.011,2.747,-6.653,-7.996
-0.083,-0.165,1.017,6.226,-6.531,-4.944
-0.080,-0.141,0.983,2.502,-5.371,-1.892
-0.085,-0.123,0.958,3.357,-4.028,1.221
-0.080,-0.110,0.948,6.287,-4.456,3.906
-0.059,-0.093,0.956,3.235,-5.798,4.456
-0.052,-0.082,0.957,-7.202,-6.165,2.686
-0.052,-0.063,0.954,-15.381,-6.165,1.160
-0.041,-0.044,0.955,-18.127,-6.592,0.793
-0.030,-0.045,0.972,-14.954,-7.874,1.038
-0.017,-0.041,0.991,-13.123,-8.606,1.343
-0.015,-0.033,1.006,-13.733,-7.935,1.282
-0.018,-0.035,1.021,-12.268,-7.385,0.671
-0.022,-0.049,1.054,-6.897,-7.263,0.244
-0.016,-0.060,1.079,-5.493,-6.531,-0.061
-0.009,-0.061,1.090,-7.507,-5.066,0.671
-0.012,-0.038,1.065,-10.986,-3.296,2.014
-0.006,-0.010,1.038,-9.216,-2.625,3.357
-0.008,0.007,1.014,-4.822,-2.258,4.333
-0.016,0.023,0.986,-0.793,-2.258,4.639
-0.020,0.039,0.958,4.639,-2.380,4.028
-0.015,0.035,0.955,10.193,-2.930,3.235
-0.010,0.017,0.961,9.094,-3.235,2.258

0.010,0.006,1.020,12.939,-1.709,0.366
0.002,-0.013,1.022,14.343,-1.587,0.183
0.010,0.002,1.000,13.367,-0.610,1.160
0.007,0.015,0.976,10.437,-0.061,1.343
-0.002,0.031,0.960,6.348,-0.122,0.793
-0.003,0.028,0.962,6.104,-0.305,0.488
-0.005,0.024,0.962,2.625,0.305,-0.061
-0.001,0.014,0.973,-0.061,0.549,-0.366
0.002,0.008,0.973,-0.305,1.038,-0.244
0.005,0.005,0.973,2.441,1.648,0.366
0.022,0.015,0.966,4.517,2.075,1.038
0.033,0.022,0.954,4.639,2.869,1.282
0.031,0.018,0.930,4.456,4.150,0.916
0.029,0.020,0.899,5.615,4.944,1.221
0.034,0.016,0.874,8.911,5.249,1.526
0.029,0.025,0.828,10.742,5.493,1.892
-0.009,0.027,0.757,8.606,5.249,2.686
-0.033,0.012,0.717,2.869,5.737,5.920
-0.094,-0.071,0.673,-1.099,9.033,11.719
-0.187,-0.141,0.549,-7.812,13.550,15.503
-0.230,-0.135,0.377,-41.687,22.095,23.804
-0.294,-0.085,-0.022,-95.947,31.677,29.846
-0.241,-0.023,-0.357,-103.882,26.978,34.912
-0.243,0.035,-0.705,-87.524,15.015,35.828
-0.212,0.009,-1.092,-82.153,3.418,31.799
-0.181,-0.105,-1.337,-77.087,-22.949,31.738
-0.208,-0.051,-1.388,-56.213,-65.491,43.091
0.106,-0.054,-1.420,-14.832,-114.319,35.095
0.094,0.213,-1.242,-0.427,-163.757,15.869
0.167,0.424,-1.065,-31.799,-188.599,14.160
0.260,0.713,-0.766,-79.529,-211.060,-2.563
0.291,1.008,-0.414,-101.196,-222.168,-15.137
0.375,1.165,-0.050,-88.257,-228.027,-32.227
0.378,1.260,0.375,-64.941,-223.694,-52.368
0.289,1.271,0.754,-46.814,-193.909,-73.730
0.145,1.047,1.282,-42.603,-153.198,-93.689
-0.242,0.759,1.682,-91.858,-125.793,-110.535
-0.633,0.652,1.902,-180.298,-97.900,-114.380
-1.079,0.589,2.146,-237.854,-69.092,-116.394
-1.293,0.404,2.462,-256.836,-44.617,-116.821
-1.526,0.396,2.796,-236.511,-28.259,-77.698
-1.594,0.415,3.274,-197.693,-50.903,-16.479
-1.739,0.514,3.655,-152.283,-29.663,31.311
-1.699,0.564,3.899,-102.173,8.240,59.570
-1.475,0.469,4.000,-44.312,37.354,78.064
-1.308,0.419,4.000,-27.039,77.271,98.450
-1.068,0.557,4.000,-45.166,132.324,97.290
-0.910,0.721,3.882,-47.607,170.227,69.092
-0.766,0.884,3.518,-22.766,184.570,39.612
